[2026-01-18 23:38:20,686] 13 root -INFO-Initiate the data ingestion
[2026-01-18 23:38:23,734] 49 root -INFO-Performed train test split
[2026-01-18 23:38:23,734] 50 root -INFO-Exited split_data_as_train_test method of Data_ingestion class
[2026-01-18 23:38:23,779] 57 root -INFO-exported train test split
[2026-01-18 23:38:23,779] 15 root -INFO-Data ingestion completed
[2026-01-18 23:38:23,779] 16 root -INFO-Initiate the data validation
[2026-01-18 23:38:23,787] 66 root -INFO-Data Validation Started
[2026-01-18 23:38:23,806] 29 root -INFO-Required number of columns: 31
[2026-01-18 23:38:23,806] 30 root -INFO-Dataframe has columns: 31
[2026-01-18 23:38:23,810] 29 root -INFO-Required number of columns: 31
[2026-01-18 23:38:23,810] 30 root -INFO-Dataframe has columns: 31
[2026-01-18 23:38:24,003] 82 root -INFO-No Data Drift found between train and test data
[2026-01-18 23:38:24,003] 85 root -INFO-Data Validation Completed
