[2026-01-18 23:39:56,724] 13 root -INFO-Initiate the data ingestion
[2026-01-18 23:39:59,421] 49 root -INFO-Performed train test split
[2026-01-18 23:39:59,421] 50 root -INFO-Exited split_data_as_train_test method of Data_ingestion class
[2026-01-18 23:39:59,464] 57 root -INFO-exported train test split
[2026-01-18 23:39:59,465] 15 root -INFO-Data ingestion completed
[2026-01-18 23:39:59,465] 16 root -INFO-Initiate the data validation
[2026-01-18 23:39:59,471] 66 root -INFO-Data Validation Started
[2026-01-18 23:39:59,491] 29 root -INFO-Required number of columns: 31
[2026-01-18 23:39:59,491] 30 root -INFO-Dataframe has columns: 31
[2026-01-18 23:39:59,491] 29 root -INFO-Required number of columns: 31
[2026-01-18 23:39:59,491] 30 root -INFO-Dataframe has columns: 31
[2026-01-18 23:39:59,678] 82 root -INFO-No Data Drift found between train and test data
[2026-01-18 23:39:59,678] 85 root -INFO-Data Validation Completed
[2026-01-18 23:39:59,724] 20 root -INFO-Data validation completed
