[2026-01-18 23:33:37,637] 13 root -INFO-Initiate the data ingestion
[2026-01-18 23:33:40,126] 49 root -INFO-Performed train test split
[2026-01-18 23:33:40,126] 50 root -INFO-Exited split_data_as_train_test method of Data_ingestion class
[2026-01-18 23:33:40,169] 57 root -INFO-exported train test split
[2026-01-18 23:33:40,169] 15 root -INFO-Data ingestion completed
[2026-01-18 23:33:40,169] 16 root -INFO-Initiate the data validation
[2026-01-18 23:33:40,175] 66 root -INFO-Data Validation Started
[2026-01-18 23:33:40,194] 29 root -INFO-Required number of columns: 31
[2026-01-18 23:33:40,194] 30 root -INFO-Dataframe has columns: 31
[2026-01-18 23:33:40,194] 29 root -INFO-Required number of columns: 31
[2026-01-18 23:33:40,195] 30 root -INFO-Dataframe has columns: 31
